数据源,进出口,日期,HS编码,商品描述,采购商,供应商,重量,数量,金额,目的国/地区,原产国/地区
印度全港,进口,2018-01-01,72173010,BRASS PLATED STEEL WIRE 1.25 MM (MADE OF NON ALLOY STEEL WIRE),BEKAERT INDUSTRIES PVT. LTD.,--,0,1841.00,2047.28,India,China
印度全港,进口,2018-01-01,72173010,BRASS PLATED STEEL WIRE 1.25 MM (MADE OF NON ALLOY STEEL WIRE),BEKAERT INDUSTRIES PVT. LTD.,--,0,19547.00,20900.68,India,China
印度全港,进口,2018-01-01,72173010,BRASS PLATED STEEL WIRE 1.98 MM (MADE OF NON ALLOY STEEL WIRE),BEKAERT INDUSTRIES PVT. LTD.,--,0,19862.00,20590.88,India,China
印度全港,进口,2018-01-01,72173010,BRASS PLATED STEEL WIRE 1.98 MM (MADE OF NON ALLOY STEEL WIRE),BEKAERT INDUSTRIES PVT. LTD.,--,0,20326.00,21071.91,India,China
印度全港,进口,2018-01-01,72173010,BRASS PLATED STEEL WIRE 1.98 MM (MADE OF NON ALLOY STEEL WIRE),BEKAERT INDUSTRIES PVT. LTD.,--,0,19580.00,20298.53,India,China
印度全港,进口,2018-01-01,72173010,BRASS PLATED STEEL WIRE 1.98 MM (MADE OF NON ALLOY STEEL WIRE),BEKAERT INDUSTRIES PVT. LTD.,--,0,18249.00,18918.69,India,China
印度全港,进口,2018-01-01,73061100,"STAINLESS STEEL WELDED PIPE GRADE J3 , EX-STOCK (NICKEL BELOW 1.5%)",WELKIN INFOTECH PRIVATE LIMITED,--,0,53.00,65.44,India,China
印度全港,进口,2018-01-01,73061100,"STAINLESS STEEL WELDED PIPE GRADE J3 , EX-STOCK (NICKEL BELOW 1.5%)",WELKIN INFOTECH PRIVATE LIMITED,--,0,25700.00,31733.24,India,China
印度全港,进口,2018-01-01,87087000,(AUTO PART FOR CAPTIVE USE) WHEEL 17X4.0 STEEL SPARE (PART NO:533597890) (QTY:40 NOS),FIAT INDIA AUTOMOBILES PRIVATE LIMITED,--,0,352.00,662.78,India,China
印度全港,进口,2018-01-01,84829119,"STEEL BALL  1/4"" (MADE OF MS)  NT WT- 9000 KGS",TEJ ENTERPRISES,--,0,59940.00,8197.01,India,China
印度全港,进口,2018-01-01,39222000,0069690037 SOFT CLOSE STAINL. STEEL C0102G (TOILET SEAT & COVER) (840 PCS),"DURAVIT INDIA   PVT. LTD.,",--,0,1993.00,18896.37,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 8"" ROUND GROUND BLANKS (75 DOZ)",JK FILES (INDIA) LTD.,--,0,57.00,294.49,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 6"" HR GROUND BLANKS (680DOZ)",JK FILES (INDIA) LTD.,--,0,544.00,2518.24,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 8"" SQUARE GROUND BLANKS (1225 DOZ)",JK FILES (INDIA) LTD.,--,0,1225.00,4760.26,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 6"" SQUARE GROUND BLANKS (500 DOZ)",JK FILES (INDIA) LTD.,--,0,210.00,1481.32,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 8"" T/SQUARE GROUND BLANKS(220 DOZ)",JK FILES (INDIA) LTD.,--,0,385.00,937.49,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 6"" T/SQUARE GROUND BLANKS(720 DOZ)",JK FILES (INDIA) LTD.,--,0,594.00,2235.37,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 14"" HR SMOOTH BRAND A (50DOZ)",JK FILES (INDIA) LTD.,--,0,350.00,1728.88,India,China
数据源,进出口,日期,HS编码,商品描述,采购商,供应商,重量,数量,金额,目的国/地区,原产国/地区
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 14"" HR 2 CUT BRAND A (100DOZ)",JK FILES (INDIA) LTD.,--,0,700.00,3043.80,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 12"" HR BASTARD (565 DOZ)",JK FILES (INDIA) LTD.,--,0,2712.00,8386.65,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 10"" HR 2 CUT (1000 DOZ)",JK FILES (INDIA) LTD.,--,0,3000.00,11434.56,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 5"" SLIM TAPER (2700 DOZ)",JK FILES (INDIA) LTD.,--,0,675.00,5259.69,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 10"" FLAT HANDLE BASTARD (1500 DOZ)",JK FILES (INDIA) LTD.,--,0,5100.00,12175.22,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 8"" FARMER OWN (3080 DOZ)",JK FILES (INDIA) LTD.,--,0,8624.00,21249.81,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 12"" FLAT BASTARD (1020 DOZ)",JK FILES (INDIA) LTD.,--,0,4692.00,11269.99,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 8"" HEAVY TAPER (100 DOZ)",JK FILES (INDIA) LTD.,--,0,190.00,623.98,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 10"" FLAT BASTARD (20 DOZ)",JK FILES (INDIA) LTD.,--,0,56.00,154.63,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 10""  MILL BASTARD (2150 DOZ)",JK FILES (INDIA) LTD.,--,0,5805.00,15967.80,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 6"" FLAT BASTARD (20 DOZ)",JK FILES (INDIA) LTD.,--,0,15.00,76.91,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 6"" FLAT BASTARD (480 DOZ)",JK FILES (INDIA) LTD.,--,0,368.00,1845.76,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 4"" SLIM TAPER (5800 DOZ)",JK FILES (INDIA) LTD.,--,0,1160.00,9297.81,India,China
印度全港,进口,2018-01-01,94036000,OUTDOOR SOFA SET MADE OF RATTAN AND STEEL 75KGS,EPITOME RESIDENCY PRIVATE LIMITED,--,0,1.00,648.65,India,China
印度全港,进口,2018-01-01,94036000,OUTDOOR CHAIR SEATER A13810 MADE OF RATTAN AND STEEL 27 KGS,EPITOME RESIDENCY PRIVATE LIMITED,--,0,1.00,218.92,India,China
印度全港,进口,2018-01-01,94056090,CEILING LIGHT DIA600MM MADE OF STEEL AND CRYSTAL 12 KGS,EPITOME RESIDENCY PRIVATE LIMITED,--,0,2.00,163.07,India,China
印度全港,进口,2018-01-01,73182990,M4*STEEL*E CLIP D1500-0040A/RA4-BLA PHO 1762 (2000 NOS)(FQ60110000),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,3.45,7.79,India,China
印度全港,进口,2018-01-01,73182990,10MM X 45 HVY DUTY STEEL COILED SPRG PIN TC1D 1810 (2675 NOS)(FP30134501),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,0.34,650.10,India,China
印度全港,进口,2018-01-01,73182990,M2.5 X 22 STEEL COTTER PIN ZY1 1830 (2761 NOS)(FP20052201),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,71.22,29.03,India,China
印度全港,进口,2018-01-01,73182990,2.5 X 20 STEEL COTTER PIN ZY1 1830 (14223 NOS)(FP20052001),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,2.53,142.03,India,China
印度全港,进口,2018-01-01,73182990,2.0 X 12 SPLIT STEEL COTTER PIN ZY1 1830 (20000 NOS)(FP20041201),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,21.06,221.53,India,China
印度全港,进口,2018-01-01,73182990,1/2 RETAINING STEEL RING PO 50ST PH 1736 (107 NOS)(FQ20000000),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,5.52,4.70,India,China
印度全港,进口,2018-01-01,73182990,19MM E-TYPE STEEL RETAINING RING MF 1762 (200 NOS)(FQ60250001),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,1.14,19.35,India,China
印度全港,进口,2018-01-01,73182990,2.5 X 20 STEEL COTTER PIN ZP96 1830 (2000 NOS)(FP20052002),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,1.56,23.22,India,China
印度全港,进口,2018-01-01,73182990,6MM X 16 MED DUTY STEEL SPIROL PIN TC1D 1810 (57 NOS)(FP30111601),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,1.34,3.98,India,China
印度全港,进口,2018-01-01,73182990,2.5 X 20 STEEL COTTER PIN ZY1 1830 (15777 NOS)(FP20052001),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,15.60,157.56,India,China
印度全港,进口,2018-01-01,73182990,6MM X 16 MED DUTY STEEL SPIROL PIN TC1D 1810 (43 NOS)(FP30111601),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,0.04,3.00,India,China
印度全港,进口,2018-01-01,73182990,8.0 X 36 HVY DUTY SPIROL PIN CARBON STEEL ZY1D 1810 (7000 NOS)(FP30123601),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,40.04,873.39,India,China
印度全港,进口,2018-01-01,73182990,6MM X 16 MED DUTY STEEL SPIROL PIN TC1D 1810 (277 NOS)(FP30111601),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,0.05,19.31,India,China
印度全港,进口,2018-01-01,73182200,M6 SIN COIL RECT SECT STEEL WASHER ZYM2 1761 (36000 NOS)(FL20110001),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,0.73,114.77,India,China
印度全港,进口,2018-01-01,73182200,M4 FORM A STEEL WASHER 1000 ZY1 1711 (11000 NOS)(FL10080001),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,31.07,11.54,India,China
印度全港,进口,2018-01-01,73182200,M5SIN COIL RECT SECT STEEL WASHER ZYM2 1761 (18000 NOS)(FL20100001),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,0.65,46.35,India,China
印度全港,进口,2018-01-01,73182200,M3SIN COIL RECT SECT STEEL WASHER ZY1D 1761 (800 NOS)(FL20060001),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,0.22,5.26,India,China
印度全港,进口,2018-01-01,73182200,NO8 X 3/8 WSH FCD HEX STEEL TYPE AB S/T TC1D 1255 (2000 NOS)(FF30480801),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,46.80,20.84,India,China
印度全港,进口,2018-01-01,73182200,M22 FORM B STEEL WASHER SF 1742 (1266 NOS)(BS4320),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,102.34,94.17,India,China
印度全港,进口,2018-01-01,73182200,M6SINGLE COIL SQ SECT RECT STEEL WASHER CBNE 1761 (8000 NOS)(FL20110012),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,3.12,39.78,India,China
印度全港,进口,2018-01-01,73182200,M8 FORM A STEEL WASHER CBNE 1711 (10000 NOS)(FL10120002),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,3.54,61.31,India,China
印度全港,进口,2018-01-01,73182200,M5FORM A STEEL WASHER ZY1 1711 (5090 NOS)(FL10100001),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,1.60,12.14,India,China
印度全港,进口,2018-01-01,73182200,M12FORM B STEEL WASHER ZY1 1711 (500 NOS)(FL10140011),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,3.74,5.33,India,China
印度全港,进口,2018-01-01,73182200,M12 SIN COIL RECT SECT STEEL WASHER ZYM2 1761 (500 NOS)(FL20140001),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,1.77,8.66,India,China
数据源,进出口,日期,HS编码,商品描述,采购商,供应商,重量,数量,金额,目的国/地区,原产国/地区
印度全港,进口,2018-01-01,73182200,M6FORM A STEEL WASHER ZY1 1711 (25000 NOS)(FL10110001),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,25.26,67.44,India,China
印度全港,进口,2018-01-01,73182200,M8 SIN COIL RECT SECT STEEL WASHER ZYM2 1761 (45000 NOS)(FL20120001),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,88.80,266.69,India,China
印度全港,进口,2018-01-01,73181600,M8 NYLON INS NUT THIN STEEL TC1 2872 (3000 NOS)(FK31120010),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,3.52,33.11,India,China
印度全港,进口,2018-01-01,73181600,M6NYLON INS  NUT THIN STEEL TC1 2872 (3000 NOS)(FK31110010),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,15.91,19.54,India,China
印度全港,进口,2018-01-01,73181600,M6 HEX LOC NUT 3.2 THK MAX DIN439 STEEL ZY1 2872 (3000 NOS)(FK21110001),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,7.49,14.96,India,China
印度全港,进口,2018-01-01,73181600,M4 HEE FULL NUT STEEL ZY1 2882 (10000 NOS)(FK11080001),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,4.99,13.08,India,China
印度全港,进口,2018-01-01,73181600,M6HEX FULL NUT STEEL ZY1 2882 (20000 NOS)(FK11110001),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,52.00,72.75,India,China
印度全港,进口,2018-01-01,73181600,M5HEX FULL NUT STEEL ZY1 2882 (20000 NOS)(FK11100001),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,1.08,47.41,India,China
印度全港,进口,2018-01-01,73181600,M4 NYLON INS NUT THIN STEEL TC1 2872 (120000 NOS)(FK31080001),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,6.28,487.20,India,China
印度全港,进口,2018-01-01,73181600,M5NYLON INS NUT THIN STEEL TC1 2872 (10000 NOS)(FK31100011),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,15.48,45.78,India,China
印度全港,进口,2018-01-01,73181600,M6HEX FULL NUT STEEL ZP96 2882 (15000 NOS)(FK11110002),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,19.03,155.52,India,China
印度全港,进口,2018-01-01,94036000,BAR STOOL MADE OF STEEL AND PLASTIC 34 KGS,EPITOME RESIDENCY PRIVATE LIMITED,--,0,3.00,72.97,India,China
印度全港,进口,2018-01-01,94036000,DUSBIN MADE OF STEEL 26 KGS,EPITOME RESIDENCY PRIVATE LIMITED,--,0,3.00,126.49,India,China
印度全港,进口,2018-01-01,94036000,DUSBIN MADE OF STEEL 26 KGS,EPITOME RESIDENCY PRIVATE LIMITED,--,0,4.00,77.82,India,China
印度全港,进口,2018-01-01,87120090,FOLDING CYCLE MADE OF STEEL 8 KGS,EPITOME RESIDENCY PRIVATE LIMITED,--,0,1.00,348.49,India,China
印度全港,进口,2018-01-01,70091090,MIRROR MADE OF STEEL AND GLASS 24 KGS,EPITOME RESIDENCY PRIVATE LIMITED,--,0,24.00,324.33,India,China
印度全港,进口,2018-01-01,73181190,M4 X 12 SLT CHEESE STEEL M/C ZY1 1002 (8600 NOS)(FC11081201),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,1.31,44.99,India,China
印度全港,进口,2018-01-01,94036000,BAR STOOL BLACK AND WHITE MADE OF STEEL AND PLASTICS 29 KGS,EPITOME RESIDENCY PRIVATE LIMITED,--,0,1.00,170.28,India,China
印度全港,进口,2018-01-01,94036000,SOFA SET MADE OF STEEL AND FOAM 127.80 KGS,EPITOME RESIDENCY PRIVATE LIMITED,--,0,1.00,567.57,India,China
印度全港,进口,2018-01-01,73181190,M5 X 16 SLT CHEESE STEEL M/C ZY1 1002 (500 NOS)(FC11101601),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,1.48,4.39,India,China
印度全港,进口,2018-01-01,73181600,M10 HEX LOC NUT STEEL 5.7MM-6.00MM THK ZY1 2870 (5000 NOS)(FK21130001),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,26.53,144.42,India,China
印度全港,进口,2018-01-01,73181600,M6 NYLON INS NUT THICK STEEL ZY1 2872 (4000 NOS)(FK31110001),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,19.75,26.32,India,China
印度全港,进口,2018-01-01,73181600,M8 HEX FULL NUT STEEL ZY1 2882 (6000 NOS)(FK11120001),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,12.48,46.10,India,China
印度全港,进口,2018-01-01,73181600,M10HEX FULL NUT STEEL ZY1 2882 (20000 NOS)(FK11130001),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,37.44,357.77,India,China
印度全港,进口,2018-01-01,73181500,M6 FLUSH HEAD STUD 12MM STEEL HCS TCSD 1490 (6827 NOS)(FR21111200),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,29.91,286.47,India,China
印度全港,进口,2018-01-01,73181500,M8 FLUSH HEAD STUD 30MM STEEL HCS TCSD 1490 (3200 NOS)(GR21123000),LUCY ELECTRIC MFG. AND TECHNOLOGIES INDIA PVT LTD,--,0,31.90,144.31,India,China
印度全港,进口,2018-01-01,73061100,STAINLESS STEEL WELDED PIPES-HR GRADE 200-76*0.60*6[720 PCS],BHARTI OIL AND FIBRE MILLS,--,0,4486.00,6237.13,India,China
印度全港,进口,2018-01-01,73061100,STAINLESS STEEL WELDED PIPES-HR GRADE 201-40*40*0.68*6[912 PCS],BHARTI OIL AND FIBRE MILLS,--,0,4430.00,6159.28,India,China
印度全港,进口,2018-01-01,73061100,STAINLESS STEEL WELDED PIPES-HR GRADE 201-38*0.68*6[1200 PCS],BHARTI OIL AND FIBRE MILLS,--,0,4351.00,6049.44,India,China
印度全港,进口,2018-01-01,73061100,STAINLESS STEEL WELDED PIPES-HR GRADE 201-25.4*0.50*6[2484 PCS],BHARTI OIL AND FIBRE MILLS,--,0,4410.00,6131.47,India,China
印度全港,进口,2018-01-01,73061100,STAINLESS STEEL WELDED PIPES-HR GRADE 201-12.7*12.7*0.60*6[3936 PCS],BHARTI OIL AND FIBRE MILLS,--,0,4939.00,6866.97,India,China
印度全港,进口,2018-01-01,73061100,STAINLESS STEEL WELDED PIPES-HR GRADE 201-101*0.60*6 [462PCS],BHARTI OIL AND FIBRE MILLS,--,0,3781.00,5256.94,India,China
印度全港,进口,2018-01-01,73061100,STAINLESS STEEL WELDED PIPES - GRADE 200- 76*0.60*6 (720 PCS),BHARTI OIL AND FIBRE MILLS,--,0,4486.00,6237.13,India,China
印度全港,进口,2018-01-01,73061100,STAINLESS STEEL WELDED PIPES - GRADE 201- 40*40*0.68*6 (912PCS),BHARTI OIL AND FIBRE MILLS,--,0,4430.00,6159.28,India,China
印度全港,进口,2018-01-01,73061100,STAINLESS STEEL WELDED PIPES - GRADE 201- 38*0.68*6 (1200 PCS),BHARTI OIL AND FIBRE MILLS,--,0,4351.00,6049.44,India,China
印度全港,进口,2018-01-01,73061100,STAINLESS STEEL WELDED PIPES - GRADE 201- 25.4*0.50*6 (2484PCS),BHARTI OIL AND FIBRE MILLS,--,0,4410.00,6131.47,India,China
印度全港,进口,2018-01-01,73061100,STAINLESS STEEL WELDED PIPES - GRADE 201- 12.7*12.7*0.60*6 (3936 PCS),BHARTI OIL AND FIBRE MILLS,--,0,4939.00,6866.97,India,China
印度全港,进口,2018-01-01,73061100,STAINLESS STEEL WELDED PIPES - GRADE 201- 101*0.60*6 (462 PCS),BHARTI OIL AND FIBRE MILLS,--,0,3781.00,5256.94,India,China
印度全港,进口,2018-01-01,73045930,STAINLESS STEEL SEAMLESS PIPES (273mm x 9.23mm x 8160mm) GRADE TP347.(DETAILS AS PER INVOICE ),ESTEEM PROJECTS PVT.LTD.,--,0,5940.00,40662.49,India,China
印度全港,进口,2018-01-01,73045930,STAINLESS STEEL SEAMLESS PIPES (273mm x 9.23mm x 7857mm) GRADE TP347.(DETAILS AS PER INVOICE ),ESTEEM PROJECTS PVT.LTD.,--,0,5716.00,39150.94,India,China
